origin_country,total_flights,avg_velocity,on_ground
Afghanistan,1,124.71,0
Algeria,3,189.38,0
Angola,1,129.51,0
Argentina,3,223.64,0
Armenia,1,274.54,0
Australia,273,123.01717948717949,56
Austria,145,156.64848275862067,15
Azerbaijan,5,505.014,0
Bahrain,1,247.1,0
Bangladesh,8,124.88374999999999,2
Belarus,1,153.64,0
Belgium,38,96.32789473684211,14
Bhutan,2,52.805,1
Brazil,36,218.66,1
Brunei Darussalam,4,183.785,0
Bulgaria,18,170.52055555555555,3
Cambodia,4,201.3425,0
Canada,118,160.83169491525425,24
Chile,9,224.83333333333334,0
China,226,170.78411504424778,26
Colombia,5,189.344,1
Croatia,18,190.14222222222222,0
Cyprus,6,102.77166666666666,1
Czech Republic,59,113.50779661016949,8
Denmark,41,176.98609756097562,0
Dominican Republic,1,240.77,0
Egypt,20,218.546,0
Estonia,7,99.4057142857143,2
Ethiopia,9,158.22444444444443,1
Finland,40,155.9035,5
France,220,122.30858447488585,35
Georgia,3,97.21,2
Germany,339,144.13085545722714,39
Greece,50,147.241,7
Hungary,54,175.93333333333334,4
Iceland,2,151.4,0
India,175,187.11885714285714,5
Indonesia,33,161.13090909090909,1
Ireland,323,195.87297213622293,18
Islamic Republic of Iran,1,148.16,0
Israel,33,167.80454545454546,1
Italy,57,115.48421052631579,2
Japan,185,165.5624864864865,26
Jordan,7,227.5614285714286,0
Kazakhstan,1,190.16,0
Kenya,3,87.78000000000002,0
Kingdom of the Netherlands,104,160.49576923076924,15
Kuwait,4,223.7175,0
Kyrgyzstan,1,162.56,0
Latvia,32,121.58375,8
Lebanon,8,223.5725,0
Lithuania,19,151.28055555555557,3
Luxembourg,22,168.805,2
Malaysia,54,172.93685185185186,2
Malta,187,189.83620320855616,14
Mexico,39,172.72358974358974,6
Montenegro,1,173.81,0
Morocco,16,196.164375,0
Myanmar,4,135.60750000000002,0
Nepal,3,111.03666666666668,0
New Zealand,56,93.73446428571428,6
Norway,60,141.35483333333335,5
Oman,4,257.22,0
Pakistan,1,231.42,0
Panama,16,210.268125,0
Philippines,39,145.56897435897437,5
Poland,154,157.2916883116883,13
Portugal,57,155.19315789473686,11
Qatar,26,175.47730769230768,2
Republic of Korea,118,165.72457627118644,16
Republic of Moldova,4,222.8525,0
Romania,32,144.109375,1
Russian Federation,52,213.7375,1
San Marino,7,174.05428571428573,1
Saudi Arabia,17,227.59588235294117,0
Serbia,6,151.6966666666667,1
Singapore,40,175.95325,3
Slovakia,8,119.415,1
Slovenia,4,157.5925,0
South Africa,14,135.3242857142857,1
Spain,198,159.984898989899,22
Sri Lanka,2,119.53,1
Sweden,90,187.63455555555555,4
Switzerland,140,104.0407857142857,37
Taiwan,61,176.3183606557377,4
Thailand,42,188.00357142857143,1
Tunisia,13,180.52,1
Turkey,279,195.36293906810036,12
Turkmenistan,1,251.97,0
Ukraine,2,227.125,0
United Arab Emirates,55,224.98181818181817,1
United Kingdom,492,188.13762195121953,42
United States,1014,162.61202169625247,122
Uzbekistan,7,232.63714285714286,0
Viet Nam,11,186.91454545454545,0
Zambia,1,116.63,0
