icao24,origin_country,velocity,on_ground
39de4f,France,195.82,False
80162c,India,202.89,False
80162a,India,139.46,False
801638,India,219.24,False
39de4a,France,213.9,False
39de4c,France,248.47,False
39de57,France,120.06,False
3ffc0f,Germany,81.56,False
801640,India,231.92,False
39de51,France,236.03,False
80162e,India,237.76,False
39de50,France,235.37,False
80162f,India,224.46,False
39de53,France,145.21,False
488280,Poland,49.28,False
39de55,France,217.92,False
39de54,France,227.93,False
80163d,India,98.95,False
801649,India,230.83,False
801647,India,235.84,False
ac4963,United States,208.92,False
acdfa3,United States,0.0,True
80160a,India,234.76,False
801616,India,238.55,False
489591,Poland,39.13,False
801622,India,191.01,False
80160e,India,158.97,False
a4b228,United States,66.41,False
80161c,India,210.3,False
80161a,India,213.17,False
801625,India,105.9,False
801626,India,242.92,False
511150,Estonia,87.11,False
801629,India,55.66,False
39de46,France,212.81,False
39de45,France,241.13,False
407a05,United Kingdom,249.24,False
39de48,France,239.29,False
a4b234,United States,104.22,False
39de49,France,237.18,False
39de40,France,242.49,False
80161d,India,119.79,False
39de42,France,209.45,False
39de44,France,242.68,False
39de43,France,0.0,True
80166c,India,239.74,False
44028c,Austria,117.94,False
44028a,Austria,233.01,False
aad012,United States,257.23,False
470beb,Hungary,33.39,False
470bec,Hungary,44.83,False
7c7269,Australia,68.65,False
4acb02,Sweden,190.73,False
4acb04,Sweden,238.0,False
ab034d,United States,257.07,False
4bc8c8,Turkey,269.27,False
488242,Poland,32.77,False
4bc8c3,Turkey,188.25,False
505f04,Slovakia,63.63,False
511172,Estonia,136.05,False
440291,Austria,30.87,False
801698,India,74.09,False
801699,India,200.07,False
841a6c,Japan,138.22,False
4bc8d5,Turkey,131.16,False
4bc8d3,Turkey,248.89,False
4bc8d2,Turkey,6.17,True
80164b,India,249.43,False
a35592,United States,233.22,False
471efa,Hungary,236.17,False
47b217,Norway,227.0,False
471efb,Hungary,224.03,False
47887e,Norway,96.55,False
801661,India,66.37,False
801662,India,206.29,False
801665,India,233.48,False
e80274,Chile,178.32,False
511195,Estonia,210.78,False
80165a,India,72.15,False
511194,Estonia,244.66,False
3442c2,Spain,132.36,False
801673,India,80.27,False
505f15,Slovakia,171.46,False
ae74e3,United States,52.46,False
3455da,Spain,86.75,False
4acb43,Sweden,226.11,False
4acb42,Sweden,170.5,False
8a0425,Indonesia,66.37,False
4acb45,Sweden,232.61,False
8a0423,Indonesia,81.09,False
3455d7,Spain,77.7,False
3455d8,Spain,151.88,False
440248,Austria,227.59,False
4acb58,Sweden,241.53,False
4acb59,Sweden,232.96,False
470bc9,Hungary,176.51,False
440250,Austria,47.63,False
